domain,problem,heuristic,solved,time,timeout,plan_length,expansions,generated,evaluations,memory_kb
logistics,task28,hadd,True,2.5933632850646973,False,79,98,2291,2521,
logistics,task01,hmax,True,0.2497849464416504,False,20,141,474,1050,
logistics,task02,hmax,True,0.2833437919616699,False,25,211,637,1444,
logistics,task03,hmax,True,0.16909122467041016,False,15,45,162,286,
logistics,task04,hmax,True,0.7811393737792969,False,31,824,2455,6597,
logistics,task05,hmax,True,0.23395133018493652,False,19,134,454,984,
logistics,task06,hmax,True,0.1971909999847412,False,8,72,220,548,
logistics,task07,hmax,True,1.0702054500579834,False,29,984,3365,8788,
logistics,task08,hmax,True,0.24287199974060059,False,16,109,404,827,
logistics,task09,hmax,True,1.019883394241333,False,31,954,3260,8238,
logistics,task10,hmax,True,0.5556888580322266,False,28,446,1583,3711,
logistics,task11,hmax,True,33.33609318733215,False,44,13728,58363,163430,
logistics,task12,hmax,True,66.37490582466125,False,51,25853,115523,319337,
logistics,task13,hmax,True,21.240580558776855,False,37,8935,35577,106730,
logistics,task14,hmax,True,92.19668245315552,False,50,32180,139456,424899,
logistics,task15,hmax,True,35.03111958503723,False,41,12041,53261,151669,
logistics,task16,hmax,True,42.781412839889526,False,35,15513,67153,193591,
logistics,task17,hmax,False,300,True,,,,,
logistics,task18,hmax,False,300,True,,,,,
logistics,task19,hmax,False,300,True,,,,,
logistics,task20,hmax,False,300,True,,,,,
logistics,task21,hmax,False,300,True,,,,,
logistics,task22,hmax,False,300,True,,,,,
logistics,task23,hmax,False,300,True,,,,,
logistics,task24,hmax,False,300,True,,,,,
logistics,task25,hmax,False,300,True,,,,,
logistics,task26,hmax,False,300,True,,,,,
logistics,task27,hmax,False,300,True,,,,,
logistics,task28,hmax,False,300,True,,,,,
logistics,task01,lmcut,True,0.8529956340789795,False,20,21,121,149,
logistics,task02,lmcut,True,0.8129916191101074,False,19,23,129,165,
logistics,task03,lmcut,True,0.5470020771026611,False,15,19,80,109,
logistics,task04,lmcut,True,1.4601225852966309,False,27,31,201,251,
logistics,task05,lmcut,True,0.8201589584350586,False,17,20,124,153,
logistics,task06,lmcut,True,0.5361793041229248,False,8,9,49,60,
logistics,task07,lmcut,True,1.550297498703003,False,25,29,209,256,
logistics,task08,lmcut,True,0.6740055084228516,False,14,16,104,125,
logistics,task09,lmcut,True,1.6036250591278076,False,25,29,204,249,
logistics,task10,lmcut,True,1.2724835872650146,False,24,28,174,215,
logistics,task11,lmcut,True,8.320382833480835,False,38,51,488,593,
logistics,task12,lmcut,True,10.629010915756226,False,44,54,523,627,
logistics,task13,lmcut,True,3.6866254806518555,False,31,37,364,430,
logistics,task14,lmcut,True,7.682077646255493,False,45,55,612,716,
logistics,task15,lmcut,True,5.702455759048462,False,38,43,489,562,
logistics,task16,lmcut,True,4.220631122589111,False,30,32,361,412,
logistics,task17,lmcut,True,17.1979022026062,False,45,55,789,898,
logistics,task18,lmcut,True,10.153766632080078,False,42,51,680,784,
logistics,task19,lmcut,True,14.630388021469116,False,49,60,881,1008,
logistics,task20,lmcut,True,31.798187971115112,False,66,101,1454,1711,
logistics,task21,lmcut,True,15.148654222488403,False,44,66,944,1112,
logistics,task22,lmcut,True,47.38310647010803,False,74,95,1542,1756,
logistics,task23,lmcut,True,120.35954165458679,False,81,114,2509,2842,
logistics,task24,lmcut,True,61.144718170166016,False,64,76,1659,1822,
logistics,task25,lmcut,True,80.63770174980164,False,66,109,2397,2716,
logistics,task26,lmcut,True,97.9162061214447,False,77,94,2301,2515,
logistics,task27,lmcut,True,144.00997352600098,False,86,126,2848,3228,
logistics,task28,lmcut,True,89.7205581665039,False,69,81,2009,2195,
logistics,task01,landmark,True,0.20581293106079102,False,20,22,136,165,
logistics,task02,landmark,True,0.18175125122070312,False,19,23,133,171,
logistics,task03,landmark,True,0.18319320678710938,False,15,21,83,120,
logistics,task04,landmark,True,0.1746532917022705,False,27,34,223,285,
logistics,task05,landmark,True,0.17596673965454102,False,17,20,125,156,
logistics,task06,landmark,True,0.16651415824890137,False,8,9,49,60,
logistics,task07,landmark,True,0.19815468788146973,False,25,31,228,283,
logistics,task08,landmark,True,0.16904330253601074,False,14,16,103,124,
logistics,task09,landmark,True,0.19976353645324707,False,25,31,223,279,
logistics,task10,landmark,True,0.1969459056854248,False,24,30,187,235,
logistics,task11,landmark,True,0.2539639472961426,False,37,57,524,685,
logistics,task12,landmark,True,0.26861000061035156,False,44,69,627,817,
logistics,task13,landmark,True,0.2513306140899658,False,31,40,390,473,
logistics,task14,landmark,True,0.2910451889038086,False,45,67,716,889,
logistics,task15,landmark,True,0.29529428482055664,False,38,49,501,598,
logistics,task16,landmark,True,0.25870585441589355,False,30,33,380,432,
logistics,task17,landmark,True,0.5096559524536133,False,45,61,844,992,
logistics,task18,landmark,True,0.5015368461608887,False,42,56,749,880,
logistics,task19,landmark,True,0.5485265254974365,False,48,66,894,1061,
logistics,task20,landmark,True,0.5953273773193359,False,63,123,1654,2138,
logistics,task21,landmark,True,0.5558991432189941,False,44,73,990,1209,
logistics,task22,landmark,True,0.6494576930999756,False,68,106,1679,2023,
logistics,task23,landmark,True,2.3673229217529297,False,83,1397,18854,35050,
logistics,task24,landmark,True,2.114642858505249,False,69,1360,17407,32370,
logistics,task25,landmark,True,2.7714486122131348,False,67,1934,25642,49033,
logistics,task26,landmark,True,2.804814577102661,False,85,2157,30531,56908,
logistics,task27,landmark,True,3.328155040740967,False,87,2198,33994,61750,
logistics,task28,landmark,True,3.701434850692749,False,77,3336,45498,87591,
zenotravel,task01,hff,True,0.20927762985229492,False,1,2,6,6,
zenotravel,task02,hff,True,0.2635960578918457,False,6,7,26,39,
zenotravel,task03,hff,True,0.20674419403076172,False,6,9,107,132,
zenotravel,task04,hff,True,0.2140662670135498,False,8,12,86,121,
zenotravel,task05,hff,True,0.27081775665283203,False,11,14,126,165,
zenotravel,task06,hff,True,0.3188741207122803,False,12,13,214,237,
zenotravel,task07,hff,True,0.276470422744751,False,16,25,179,242,
zenotravel,task08,hff,True,1.1437580585479736,False,14,37,650,866,
zenotravel,task09,hff,True,1.1115303039550781,False,24,36,653,820,
zenotravel,task10,hff,True,1.1670424938201904,False,26,32,591,686,
zenotravel,task11,hff,True,3.2425448894500732,False,17,54,1151,1720,
zenotravel,task12,hff,True,2.4781811237335205,False,24,45,1083,1389,
zenotravel,task13,hff,True,23.287141799926758,False,32,356,7015,13862,
zenotravel,task14,hff,True,227.84224915504456,False,40,638,29922,40899,
zenotravel,task15,hff,False,300,True,,,,,
zenotravel,task16,hff,False,300,True,,,,,
zenotravel,task17,hff,False,300,True,,,,,
zenotravel,task18,hff,True,263.2944588661194,False,87,169,7206,8370,
zenotravel,task19,hff,False,300,True,,,,,
zenotravel,task20,hff,False,300,True,,,,,
zenotravel,task01,hadd,True,0.16387414932250977,False,1,2,6,6,
zenotravel,task02,hadd,True,0.1815629005432129,False,6,7,26,39,
zenotravel,task03,hadd,True,0.2139277458190918,False,6,7,90,100,
zenotravel,task04,hadd,True,0.18460512161254883,False,8,9,75,89,
zenotravel,task05,hadd,True,0.4182727336883545,False,16,38,310,489,
zenotravel,task06,hadd,True,0.2790248394012451,False,12,13,198,221,
zenotravel,task07,hadd,True,0.2798728942871094,False,16,21,175,233,
zenotravel,task08,hadd,True,0.7388889789581299,False,12,18,383,462,
zenotravel,task09,hadd,True,0.7832627296447754,False,24,25,497,548,
zenotravel,task10,hadd,True,2.7948031425476074,False,26,135,2062,3083,
zenotravel,task11,hadd,True,2.0629053115844727,False,18,33,974,1211,
zenotravel,task12,hadd,True,1.978757381439209,False,24,29,874,992,
zenotravel,task13,hadd,True,2.9401931762695312,False,28,44,1452,1607,
zenotravel,task14,hadd,True,92.9256534576416,False,35,244,12117,17124,
zenotravel,task15,hadd,True,53.486485719680786,False,46,104,4386,4963,
zenotravel,task16,hadd,True,178.577956199646,False,47,202,12317,14873,
zenotravel,task17,hadd,True,209.77689123153687,False,77,162,9768,11152,
zenotravel,task18,hadd,False,300,True,,,,,
zenotravel,task19,hadd,False,300,True,,,,,
zenotravel,task20,hadd,False,300,True,,,,,
zenotravel,task01,hmax,True,0.18205499649047852,False,1,2,6,6,
zenotravel,task02,hmax,True,0.15533947944641113,False,6,11,35,62,
zenotravel,task03,hmax,True,1.0014827251434326,False,8,155,1275,2706,
zenotravel,task04,hmax,True,0.31126856803894043,False,8,57,267,591,
zenotravel,task05,hmax,True,1.9477698802947998,False,12,271,1523,3880,
zenotravel,task06,hmax,True,16.808669805526733,False,12,1780,12027,36051,
zenotravel,task07,hmax,True,12.721359491348267,False,18,1878,12249,31994,
