domain,problem,heuristics,strategy,n_heuristics,solved,time,timeout,plan_length,expansions
sokoban,task14,"hadd,hff,landmark",max,3,True,3.998889207839966,False,97,
sokoban,task15,"hadd,hff,landmark",max,3,True,207.8655047416687,False,408,
sokoban,task16,"hadd,hff,landmark",max,3,True,60.39078879356384,False,264,
sokoban,task17,"hadd,hff,landmark",max,3,True,73.47635650634766,False,110,
sokoban,task18,"hadd,hff,landmark",max,3,True,94.04871225357056,False,346,
sokoban,task19,"hadd,hff,landmark",max,3,False,300,True,,
sokoban,task20,"hadd,hff,landmark",max,3,True,212.7663779258728,False,429,
sokoban,task21,"hadd,hff,landmark",max,3,True,12.638976335525513,False,50,
sokoban,task22,"hadd,hff,landmark",max,3,True,38.334885120391846,False,340,
sokoban,task23,"hadd,hff,landmark",max,3,True,39.26347899436951,False,111,
sokoban,task24,"hadd,hff,landmark",max,3,True,288.4551668167114,False,309,
sokoban,task25,"hadd,hff,landmark",max,3,False,300,True,,
sokoban,task26,"hadd,hff,landmark",max,3,True,139.73367547988892,False,229,
sokoban,task27,"hadd,hff,landmark",max,3,True,34.92248725891113,False,233,
sokoban,task28,"hadd,hff,landmark",max,3,False,300,True,,
sokoban,task29,"hadd,hff,landmark",max,3,False,300,True,,
sokoban,task30,"hadd,hff,landmark",max,3,False,300,True,,
sokoban,task01,"hadd,hff,landmark",alternation,3,True,2.6468732357025146,False,54,
sokoban,task02,"hadd,hff,landmark",alternation,3,True,0.6924941539764404,False,41,
sokoban,task03,"hadd,hff,landmark",alternation,3,True,0.4320187568664551,False,51,
sokoban,task04,"hadd,hff,landmark",alternation,3,True,3.499263286590576,False,125,
sokoban,task05,"hadd,hff,landmark",alternation,3,True,8.233888864517212,False,57,
sokoban,task06,"hadd,hff,landmark",alternation,3,True,1.3593158721923828,False,41,
sokoban,task07,"hadd,hff,landmark",alternation,3,True,39.766371726989746,False,99,
sokoban,task08,"hadd,hff,landmark",alternation,3,True,82.20247077941895,False,122,
sokoban,task09,"hadd,hff,landmark",alternation,3,True,19.078001737594604,False,124,
sokoban,task10,"hadd,hff,landmark",alternation,3,True,36.07807970046997,False,137,
sokoban,task11,"hadd,hff,landmark",alternation,3,True,197.71941256523132,False,345,
sokoban,task12,"hadd,hff,landmark",alternation,3,True,41.312899589538574,False,168,
sokoban,task13,"hadd,hff,landmark",alternation,3,False,300,True,,
sokoban,task14,"hadd,hff,landmark",alternation,3,True,6.553717374801636,False,97,
sokoban,task15,"hadd,hff,landmark",alternation,3,False,300,True,,
sokoban,task16,"hadd,hff,landmark",alternation,3,True,77.87551283836365,False,245,
sokoban,task17,"hadd,hff,landmark",alternation,3,True,108.57642793655396,False,100,
sokoban,task18,"hadd,hff,landmark",alternation,3,True,139.9146385192871,False,330,
sokoban,task19,"hadd,hff,landmark",alternation,3,True,285.99235463142395,False,324,
sokoban,task20,"hadd,hff,landmark",alternation,3,True,215.09482622146606,False,429,
sokoban,task21,"hadd,hff,landmark",alternation,3,True,14.311318397521973,False,50,
sokoban,task22,"hadd,hff,landmark",alternation,3,True,37.87439441680908,False,282,
sokoban,task23,"hadd,hff,landmark",alternation,3,True,128.21581888198853,False,105,
sokoban,task24,"hadd,hff,landmark",alternation,3,False,300,True,,
sokoban,task25,"hadd,hff,landmark",alternation,3,False,300,True,,
sokoban,task26,"hadd,hff,landmark",alternation,3,True,155.98433589935303,False,215,
sokoban,task27,"hadd,hff,landmark",alternation,3,True,19.935585260391235,False,165,
sokoban,task28,"hadd,hff,landmark",alternation,3,False,300,True,,
sokoban,task29,"hadd,hff,landmark",alternation,3,True,110.7502338886261,False,47,
sokoban,task30,"hadd,hff,landmark",alternation,3,False,300,True,,
